Hofheim am Taunus, Kreisstadt|06436007|436|Main-Taunus-Kreis|Darmstadt
Hohenahr|06532013|532|Lahn-Dill-Kreis|Gießen
Hohenroda|06632010|632|Hersfeld-Rotenburg|Kassel
Hohenstein|06439006|439|Rheingau-Taunus-Kreis|Darmstadt
Homberg (Efze), Kreisstadt|06634009|634|Schwalm-Eder-Kreis|Kassel
Homberg (Ohm), Stadt|06535009|535|Vogelsbergkreis|Gießen
Hosenfeld|06631014|631|Fulda|Kassel
Hünfeld, Stadt|06631015|631|Fulda|Kassel
Hünfelden|06533008|533|Limburg-Weilburg|Gießen
Hungen, Stadt|06531008|531|Gießen|Gießen
Hünstetten|06439007|439|Rheingau-Taunus-Kreis|Darmstadt
Hüttenberg|06532014|532|Lahn-Dill-Kreis|Gießen
Idstein, Stadt|06439008|439|Rheingau-Taunus-Kreis|Darmstadt
Immenhausen, Stadt|06633014|633|Kassel|Kassel
Jesberg|06634010|634|Schwalm-Eder-Kreis|Kassel
Jossgrund|06435016|435|Main-Kinzig-Kreis|Darmstadt
Kalbach|06631016|631|Fulda|Kassel
Karben, Stadt|06440012|440|Wetteraukreis|Darmstadt
Kassel, documenta-Stadt|06611000|611||Kassel
Kaufungen|06633015|633|Kassel|Kassel
Kefenrod|06440013|440|Wetteraukreis|Darmstadt
Kelkheim (Taunus), Stadt|06436008|436|Main-Taunus-Kreis|Darmstadt
Kelsterbach, Stadt|06433007|433|Groß-Gerau|Darmstadt
Kiedrich|06439009|439|Rheingau-Taunus-Kreis|Darmstadt
Kirchhain, Stadt|06534011|534|Marburg-Biedenkopf|Gießen
Kirchheim|06632011|632|Hersfeld-Rotenburg|Kassel
Kirtorf, Stadt|06535010|535|Vogelsbergkreis|Gießen
Knüllwald|06634011|634|Schwalm-Eder-Kreis|Kassel
Königstein im Taunus, Stadt|06434005|434|Hochtaunuskreis|Darmstadt
Korbach, Kreisstadt|06635015|635|Waldeck-Frankenberg|Kassel
Körle|06634012|634|Schwalm-Eder-Kreis|Kassel
Kriftel|06436009|436|Main-Taunus-Kreis|Darmstadt
Kronberg im Taunus, Stadt|06434006|434|Hochtaunuskreis|Darmstadt
Künzell|06631017|631|Fulda|Kassel
Lahnau|06532015|532|Lahn-Dill-Kreis|Gießen
Lahntal|06534012|534|Marburg-Biedenkopf|Gießen
Lampertheim, Stadt|06431013|431|Bergstraße|Darmstadt
Langen (Hessen), Stadt|06438006|438|Offenbach|Darmstadt
Langenselbold, Stadt|06435017|435|Main-Kinzig-Kreis|Darmstadt
Langgöns|06531009|531|Gießen|Gießen
Laubach, Stadt|06531010|531|Gießen|Gießen
Lauterbach (Hessen), Kreisstadt|06535011|535|Vogelsbergkreis|Gießen
Lautertal (Odenwald)|06431014|431|Bergstraße|Darmstadt
Lautertal (Vogelsberg)|06535012|535|Vogelsbergkreis|Gießen
Leun, Stadt|06532016|532|Lahn-Dill-Kreis|Gießen
Lich, Stadt|06531011|531|Gießen|Gießen
Lichtenfels, Stadt|06635016|635|Waldeck-Frankenberg|Kassel
Liebenau, Stadt|06633016|633|Kassel|Kassel
Liederbach am Taunus|06436010|436|Main-Taunus-Kreis|Darmstadt
Limburg a. d. Lahn, Kreisstadt|06533009|533|Limburg-Weilburg|Gießen
Limeshain|06440014|440|Wetteraukreis|Darmstadt
Linden, Stadt|06531012|531|Gießen|Gießen
Lindenfels, Stadt|06431015|431|Bergstraße|Darmstadt
Linsengericht|06435018|435|Main-Kinzig-Kreis|Darmstadt
Lohfelden|06633017|633|Kassel|Kassel
Löhnberg|06533010|533|Limburg-Weilburg|Gießen
Lohra|06534013|534|Marburg-Biedenkopf|Gießen
Lollar, Stadt|06531013|531|Gießen|Gießen
Lorch, Stadt|06439010|439|Rheingau-Taunus-Kreis|Darmstadt
Lorsch, Stadt|06431016|431|Bergstraße|Darmstadt
Ludwigsau|06632012|632|Hersfeld-Rotenburg|Kassel
Lützelbach|06437010|437|Odenwaldkreis|Darmstadt
Mainhausen|06438007|438|Offenbach|Darmstadt
Maintal, Stadt|06435019|435|Main-Kinzig-Kreis|Darmstadt
Malsfeld|06634013|634|Schwalm-Eder-Kreis|Kassel
Marburg, Universitätsstadt|06534014|534|Marburg-Biedenkopf|Gießen
Meinhard|06636007|636|Werra-Meißner-Kreis|Kassel
Meißner|06636008|636|Werra-Meißner-Kreis|Kassel
Melsungen, Stadt|06634014|634|Schwalm-Eder-Kreis|Kassel
Mengerskirchen, Marktflecken|06533011|533|Limburg-Weilburg|Gießen
Merenberg, Marktflecken|06533012|533|Limburg-Weilburg|Gießen
Messel|06432012|432|Darmstadt-Dieburg|Darmstadt
Michelbuch|06431200|431|Bergstraße|Darmstadt
Michelstadt, Stadt|06437011|437|Odenwaldkreis|Darmstadt
Mittenaar|06532017|532|Lahn-Dill-Kreis|Gießen
Modautal|06432013|432|Darmstadt-Dieburg|Darmstadt
Mörfelden-Walldorf, Stadt|06433008|433|Groß-Gerau|Darmstadt
Mörlenbach|06431017|431|Bergstraße|Darmstadt
Morschen|06634015|634|Schwalm-Eder-Kreis|Kassel
Mossautal|06437012|437|Odenwaldkreis|Darmstadt
Mücke|06535013|535|Vogelsbergkreis|Gießen
Mühlheim am Main, Stadt|06438008|438|Offenbach|Darmstadt
Mühltal|06432014|432|Darmstadt-Dieburg|Darmstadt
Münchhausen|06534015|534|Marburg-Biedenkopf|Gießen
Münster|06432015|432|Darmstadt-Dieburg|Darmstadt
Münzenberg, Stadt|06440015|440|Wetteraukreis|Darmstadt
Nauheim|06433009|433|Groß-Gerau|Darmstadt
Naumburg, Stadt|06633018|633|Kassel|Kassel
Neckarsteinach, Stadt|06431018|431|Bergstraße|Darmstadt
Nentershausen|06632013|632|Hersfeld-Rotenburg|Kassel
Neu-Anspach|06434007|434|Hochtaunuskreis|Darmstadt
Neu-Eichenberg|06636009|636|Werra-Meißner-Kreis|Kassel
Neu-Isenburg, Stadt|06438009|438|Offenbach|Darmstadt
Neuberg|06435020|435|Main-Kinzig-Kreis|Darmstadt
Neuenstein|06632014|632|Hersfeld-Rotenburg|Kassel
Neuental|06634016|634|Schwalm-Eder-Kreis|Kassel
Neuhof|06631018|631|Fulda|Kassel
Neukirchen, Stadt|06634017|634|Schwalm-Eder-Kreis|Kassel
Neustadt (Hessen), Stadt|06534016|534|Marburg-Biedenkopf|Gießen
Nidda, Stadt|06440016|440|Wetteraukreis|Darmstadt
Niddatal, Stadt|06440017|440|Wetteraukreis|Darmstadt
Nidderau, Stadt|06435021|435|Main-Kinzig-Kreis|Darmstadt
Niedenstein, Stadt|06634018|634|Schwalm-Eder-Kreis|Kassel
Niederaula|06632015|632|Hersfeld-Rotenburg|Kassel
Niederdorfelden|06435022|435|Main-Kinzig-Kreis|Darmstadt
Niedernhausen|06439011|439|Rheingau-Taunus-Kreis|Darmstadt
Nieste|06633019|633|Kassel|Kassel
Niestetal|06633020|633|Kassel|Kassel
Nüsttal|06631019|631|Fulda|Kassel
Ober-Mörlen|06440018|440|Wetteraukreis|Darmstadt
Ober-Ramstadt, Stadt|06432016|432|Darmstadt-Dieburg|Darmstadt
Oberaula|06634019|634|Schwalm-Eder-Kreis|Kassel
Obertshausen, Stadt|06438010|438|Offenbach|Darmstadt
Oberursel (Taunus), Stadt|06434008|434|Hochtaunuskreis|Darmstadt
Oberzent, Stadt|06437016|437|Odenwaldkreis|Darmstadt
